,school,sex,age,address,fam_size,p_status,m_edu,f_edu,reason,guardian,travel_time,study_time,failures,school_sup,fam_sup,paid,activities,higher,internet,romantic,fam_rel,free_time,go_out,dalc,walc,health,absences,objecting,grade
0,GP,F,18,U,GT3,A,4,4,course,mother,2,2,0,yes,no,no,no,yes,no,no,4,3,4,1,1,3,4,0,7.33
1,GP,F,17,U,GT3,T,1,1,course,father,1,2,0,no,yes,no,no,yes,yes,no,5,3,3,1,1,3,2,1,10.33
2,GP,F,15,U,LE3,T,1,1,other,mother,1,2,0,yes,no,no,no,yes,yes,no,4,3,2,2,3,3,6,2,12.33
3,GP,F,15,U,GT3,T,4,2,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,3,2,2,1,1,5,0,3,14.0
4,GP,F,16,U,GT3,T,3,3,home,father,1,2,0,no,yes,no,no,yes,no,no,4,3,2,1,2,5,0,4,12.33
5,GP,M,16,U,LE3,T,4,3,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,5,4,2,1,2,5,6,5,12.33
6,GP,M,16,U,LE3,T,2,2,home,mother,1,2,0,no,no,no,no,yes,yes,no,4,4,4,1,1,3,0,6,12.67
7,GP,F,17,U,GT3,A,4,4,home,mother,2,2,0,yes,yes,no,no,yes,no,no,4,1,4,1,1,1,2,7,12.0
8,GP,M,15,U,LE3,A,3,2,home,mother,1,2,0,no,yes,no,no,yes,yes,no,4,2,2,1,1,1,0,8,16.0
9,GP,M,15,U,GT3,T,3,4,home,mother,1,2,0,no,yes,no,yes,yes,yes,no,5,5,1,1,1,5,0,9,12.33
10,GP,F,15,U,GT3,T,4,4,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,3,3,3,1,2,2,2,10,14.0
11,GP,F,15,U,GT3,T,2,1,reputation,father,3,3,0,no,yes,no,yes,yes,yes,no,5,2,2,1,1,4,0,11,11.67
12,GP,M,15,U,LE3,T,4,4,course,father,1,1,0,no,yes,no,yes,yes,yes,no,4,3,3,1,3,5,0,12,12.33
13,GP,M,15,U,GT3,T,4,3,course,mother,2,2,0,no,yes,no,no,yes,yes,no,5,4,3,1,2,3,0,13,12.33
14,GP,M,15,U,GT3,A,2,2,home,other,1,3,0,no,yes,no,no,yes,yes,yes,4,5,2,1,1,3,0,14,14.33
15,GP,F,16,U,GT3,T,4,4,home,mother,1,1,0,no,yes,no,no,yes,yes,no,4,4,4,1,2,2,6,15,17.0
16,GP,F,16,U,GT3,T,4,4,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,no,3,2,3,1,2,2,10,16,13.33
17,GP,F,16,U,GT3,T,3,3,reputation,mother,3,2,0,yes,yes,no,yes,yes,no,no,5,3,2,1,1,4,2,17,13.67
18,GP,M,17,U,GT3,T,3,2,course,mother,1,1,3,no,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,18,7.67
19,GP,M,16,U,LE3,T,4,3,home,father,1,1,0,no,no,no,yes,yes,yes,no,3,1,3,1,3,5,6,19,12.0
20,GP,M,15,U,GT3,T,4,3,reputation,mother,1,2,0,no,no,no,no,yes,yes,no,4,4,1,1,1,1,0,20,13.0
21,GP,M,15,U,GT3,T,4,4,other,father,1,1,0,no,yes,yes,no,yes,yes,no,5,4,2,1,1,5,0,21,11.67
22,GP,M,16,U,LE3,T,4,2,course,mother,1,2,0,no,no,no,yes,yes,yes,no,4,5,1,1,3,5,0,22,13.0
23,GP,M,16,U,LE3,T,2,2,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,no,5,4,4,2,4,5,2,23,10.0
24,GP,F,15,R,GT3,T,2,4,course,mother,1,3,0,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,2,24,10.33
25,GP,F,16,U,GT3,T,2,2,home,mother,1,1,0,no,yes,no,no,yes,yes,no,1,2,2,1,3,5,6,25,11.0
26,GP,M,15,U,GT3,T,2,2,home,mother,1,1,0,no,yes,no,no,yes,yes,no,4,2,2,1,2,5,8,26,11.67
27,GP,M,15,U,GT3,T,4,2,other,mother,1,1,0,no,no,no,no,yes,yes,no,2,2,4,2,4,1,0,27,11.0
28,GP,M,16,U,LE3,A,3,4,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,28,12.33
29,GP,M,16,U,GT3,T,4,4,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,29,11.67
30,GP,M,15,U,GT3,T,4,4,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,5,4,2,3,4,5,0,30,10.67
31,GP,M,15,U,GT3,T,4,4,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,no,4,3,1,1,1,5,2,31,15.0
32,GP,M,15,R,GT3,T,4,3,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,4,5,2,1,1,5,0,32,14.0
33,GP,M,15,U,LE3,T,3,3,course,mother,1,2,0,no,no,no,yes,yes,yes,no,5,3,2,1,1,2,0,33,12.33
34,GP,M,16,U,GT3,T,3,2,home,mother,1,1,0,no,yes,no,no,yes,yes,no,5,4,3,1,1,5,4,34,12.0
35,GP,F,15,U,GT3,T,2,3,other,father,2,1,0,no,yes,no,yes,yes,no,no,3,5,1,1,1,5,4,35,11.0
36,GP,M,15,U,LE3,T,4,3,home,mother,1,3,0,no,yes,no,yes,yes,yes,no,5,4,3,1,1,4,0,36,14.0
37,GP,M,16,R,GT3,A,4,4,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,2,4,3,1,1,5,4,37,13.0
38,GP,F,15,R,GT3,T,3,4,course,mother,1,3,0,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,2,38,11.67
39,GP,F,15,R,GT3,T,2,2,reputation,mother,1,1,0,yes,yes,no,yes,yes,no,no,4,3,1,1,1,2,8,39,13.0
40,GP,F,16,U,LE3,T,2,2,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,3,3,3,1,2,3,16,40,10.67
41,GP,M,15,U,LE3,T,4,4,home,other,1,1,0,no,yes,no,no,yes,yes,yes,5,4,3,2,4,5,8,41,10.67
42,GP,M,15,U,GT3,T,4,4,course,father,1,2,0,no,yes,no,yes,yes,yes,no,4,3,3,1,1,5,0,42,14.67
43,GP,M,15,U,GT3,T,2,2,course,father,1,1,0,yes,yes,no,no,yes,yes,no,5,4,1,1,1,1,0,43,9.67
44,GP,F,16,U,LE3,T,2,2,course,father,2,2,1,yes,no,no,yes,yes,yes,no,4,3,3,2,2,5,14,44,10.67
45,GP,F,15,U,LE3,A,4,3,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,45,10.67
46,GP,F,16,U,LE3,A,3,3,home,mother,1,2,0,no,yes,no,no,yes,yes,no,2,3,5,1,4,3,6,46,12.67
47,GP,M,16,U,GT3,T,4,3,reputation,mother,1,4,0,no,no,no,yes,yes,yes,no,4,2,2,1,1,2,2,47,17.0
48,GP,M,15,U,GT3,T,4,2,home,mother,1,2,0,no,yes,no,no,yes,no,no,4,3,3,2,2,5,4,48,12.0
49,GP,F,15,U,GT3,T,4,4,other,father,1,2,0,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,3,2,49,12.33
50,GP,F,16,U,LE3,T,2,2,course,mother,3,2,0,no,yes,no,no,yes,yes,no,4,3,3,2,3,4,0,50,13.33
51,GP,F,15,U,LE3,T,4,2,other,mother,1,2,0,no,yes,no,no,yes,yes,no,4,3,3,1,1,5,0,51,15.33
52,GP,M,15,U,LE3,A,4,2,other,father,2,1,0,no,no,no,no,yes,no,no,5,5,5,3,4,5,4,52,9.33
53,GP,F,15,U,GT3,T,4,4,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,3,3,4,2,3,5,0,53,12.33
54,GP,F,15,U,LE3,A,3,3,other,mother,1,1,0,no,no,no,no,yes,yes,no,5,3,4,4,4,1,0,54,12.67
55,GP,F,16,U,GT3,A,2,1,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,5,3,4,1,1,2,2,55,12.33
56,GP,F,15,U,GT3,A,4,3,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,4,3,2,1,1,1,0,56,14.67
57,GP,M,15,U,GT3,T,4,4,reputation,mother,1,2,0,no,yes,no,yes,yes,no,no,3,2,2,1,1,5,8,57,15.33
58,GP,M,15,U,LE3,T,1,2,home,father,1,2,0,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,58,13.67
59,GP,F,16,U,GT3,T,4,2,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,2,3,1,1,5,2,59,15.67
60,GP,F,16,R,GT3,T,4,4,other,mother,1,2,0,no,yes,no,yes,yes,no,no,2,4,4,2,3,4,0,60,16.33
61,GP,F,16,U,GT3,T,1,1,course,father,4,1,0,yes,yes,no,yes,yes,yes,yes,5,5,5,5,5,5,0,61,12.0
62,GP,F,16,U,LE3,T,1,2,reputation,father,1,2,0,yes,no,no,yes,yes,yes,no,4,4,3,1,1,1,0,62,12.0
63,GP,F,16,U,GT3,T,4,3,home,mother,1,3,0,yes,yes,no,yes,yes,yes,no,3,4,4,2,4,4,0,63,13.33
64,GP,F,15,U,LE3,T,4,3,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,4,2,4,2,0,64,12.33
65,GP,F,16,U,LE3,T,4,3,course,mother,3,2,0,no,yes,no,yes,yes,yes,no,5,4,3,1,2,1,2,65,15.67
66,GP,M,15,U,GT3,A,4,4,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,1,3,3,5,5,3,0,66,11.67
67,GP,F,16,U,GT3,T,3,1,course,mother,1,4,0,yes,yes,no,no,yes,yes,no,4,3,3,1,2,5,0,67,9.67
